,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
78831,user_1032,The headstock is curved,3Z7ISHFUH2OP991N4K1ZPDXBQ6C8ZL,167.0,9ea48deefedac72c441861ef056a75b9,guitar,ShapeNet,5d629c65f490d33063e148e250c0340d,guitar,ShapeNet,False,guitar/ShapeNet/5d629c65f490d33063e148e250c0340d,guitar/ShapeNet/9ea48deefedac72c441861ef056a75b9,False,guitar,guitar,0,"['the', 'headstock', 'is', 'curved']",4,the headstock is curved,train,train,train,train,"[1, 10, 3882, 7, 51, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78832,user_354,Its headstock is a triangle,3YHH42UU5D8NMVFGUFXBOJGVSTK0LN,66.0,715d17d76a80c54bcc34b900bb2492e,guitar,ShapeNet,b35e8f73d68885059e25703eed62525b,guitar,ShapeNet,False,guitar/ShapeNet/b35e8f73d68885059e25703eed62525b,guitar/ShapeNet/715d17d76a80c54bcc34b900bb2492e,False,guitar,guitar,0,"['its', 'headstock', 'is', 'a', 'triangle']",5,its headstock is a triangle,train,train,train,train,"[1, 5, 3882, 7, 26, 608, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78833,user_1914,The target headstock is shaped like an arrow.,3NL0RFNU0HGT1DFZSG8CLMTTKA74KQ,357.0,715d17d76a80c54bcc34b900bb2492e,guitar,ShapeNet,b35e8f73d68885059e25703eed62525b,guitar,ShapeNet,False,guitar/ShapeNet/b35e8f73d68885059e25703eed62525b,guitar/ShapeNet/715d17d76a80c54bcc34b900bb2492e,False,guitar,guitar,0,"['the', 'target', 'headstock', 'is', 'shaped', 'like', 'an', 'arrow']",8,the target headstock is shaped like an arrow,train,train,train,train,"[1, 10, 11, 3882, 7, 14, 35, 72, 867, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
78834,user_920,"The top of the target's headstock is ""V"" shaped.",3ZY8KE4ISLWE6TW9PHTWQY5FWV5QVF,64.0,d82fc6db200cdf6ea24eeca91f583600,guitar,ShapeNet,db5e01167c49c793d5d673747c0e3adb,guitar,ShapeNet,False,guitar/ShapeNet/db5e01167c49c793d5d673747c0e3adb,guitar/ShapeNet/d82fc6db200cdf6ea24eeca91f583600,False,guitar,guitar,0,"['the', 'top', 'of', 'the', 'target', ""'s"", 'headstock', 'is', 'v', 'shaped']",10,the top of the target 's headstock is v shaped,train,train,train,train,"[1, 10, 99, 38, 10, 11, 12, 3882, 7, 384, 14, 2, 0, 0, 0, 0, 0, 0]",head
78835,user_1598,You cannot see any pickups on the target's body.,3G5F9DBFORQ1T0X66R62HKDE5BZVHK,91.0,d82fc6db200cdf6ea24eeca91f583600,guitar,ShapeNet,db5e01167c49c793d5d673747c0e3adb,guitar,ShapeNet,False,guitar/ShapeNet/db5e01167c49c793d5d673747c0e3adb,guitar/ShapeNet/d82fc6db200cdf6ea24eeca91f583600,False,guitar,guitar,0,"['you', 'can', 'not', 'see', 'any', 'pickups', 'on', 'the', 'target', ""'s"", 'body']",11,you can not see any pickups on the target 's body,train,train,train,train,"[1, 1620, 1168, 40, 1621, 278, 3878, 20, 10, 11, 12, 45, 2, 0, 0, 0, 0, 0]",body
78842,user_354,All of its tuning pegs are on the left side of its headstock,3Z7ISHFUH2OP991N4K1ZPDXBQF78ZY,53.0,9a4d1c4535c3f3d2d872eaafa837d692,guitar,ShapeNet,9dcc9c7653ade6f363e148e250c0340d,guitar,ShapeNet,False,guitar/ShapeNet/9dcc9c7653ade6f363e148e250c0340d,guitar/ShapeNet/9a4d1c4535c3f3d2d872eaafa837d692,False,guitar,guitar,0,"['all', 'of', 'its', 'tuning', 'pegs', 'are', 'on', 'the', 'left', 'side', 'of', 'its', 'headstock']",13,all of its tuning pegs are on the left side of its headstock,train,train,train,train,"[1, 367, 38, 5, 3883, 2023, 16, 20, 10, 187, 22, 38, 5, 3882, 2, 0, 0, 0]",head
78843,user_1252,The head of the target guitar is curved to the left.,3BXQMRHWK1RN8Z9HSYCAD3JR810MUS,332.0,9a4d1c4535c3f3d2d872eaafa837d692,guitar,ShapeNet,9dcc9c7653ade6f363e148e250c0340d,guitar,ShapeNet,False,guitar/ShapeNet/9dcc9c7653ade6f363e148e250c0340d,guitar/ShapeNet/9a4d1c4535c3f3d2d872eaafa837d692,False,guitar,guitar,0,"['the', 'head', 'of', 'the', 'target', 'guitar', 'is', 'curved', 'to', 'the', 'left']",11,the head of the target guitar is curved to the left,train,train,train,train,"[1, 10, 107, 38, 10, 11, 757, 7, 51, 58, 10, 187, 2, 0, 0, 0, 0, 0]",head
78845,user_1154,Target guitar has a sound hole on its body.,33PPO7FECX8FVE84LOOTBA8M5MYIDZ,51.0,70d9a5d0330abd9df4b498e11fb60a4b,guitar,ShapeNet,feaacb1b8c140e5ff962b6de585c4677,guitar,ShapeNet,False,guitar/ShapeNet/feaacb1b8c140e5ff962b6de585c4677,guitar/ShapeNet/70d9a5d0330abd9df4b498e11fb60a4b,False,guitar,guitar,0,"['target', 'guitar', 'has', 'a', 'sound', 'hole', 'on', 'its', 'body']",9,target guitar has a sound hole on its body,train,train,train,train,"[1, 11, 757, 24, 26, 617, 81, 20, 5, 45, 2, 0, 0, 0, 0, 0, 0, 0]",body
78846,user_354,It has tuning pegs on each side of its headstock,3VSOLARPKD2O2LD4O5C4L8N7VP3932,51.0,1821a6d30c529af493b667ec2f48a310,guitar,ShapeNet,d52f696ab86b354624933d5e1bb8057d,guitar,ShapeNet,True,guitar/ShapeNet/d52f696ab86b354624933d5e1bb8057d,guitar/ShapeNet/1821a6d30c529af493b667ec2f48a310,True,guitar,guitar,0,"['it', 'has', 'tuning', 'pegs', 'on', 'each', 'side', 'of', 'its', 'headstock']",10,it has tuning pegs on each side of its headstock,train,train,train,train,"[1, 23, 24, 3883, 2023, 20, 21, 22, 38, 5, 3882, 2, 0, 0, 0, 0, 0, 0]",head
78849,user_1032,It has a wider body,3NXNZ5RS1CQ634ERQHFUYPZN0J9799,176.0,2ad699d80ae93ae793f0194265a9746c,guitar,ShapeNet,6b1648834de5c0c910a26d9d3646f933,guitar,ShapeNet,False,guitar/ShapeNet/6b1648834de5c0c910a26d9d3646f933,guitar/ShapeNet/2ad699d80ae93ae793f0194265a9746c,False,guitar,guitar,0,"['it', 'has', 'a', 'wide', '-er', 'body']",6,it has a wide -er body,train,train,train,train,"[1, 23, 24, 26, 83, 9, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
78853,user_1032,It has a smaller body,34V1S5K3GUUNZ40M77A2SBZR58P699,101.0,8dd7df733a5ba17acae98171fea031ef,guitar,ShapeNet,d4b021a085d836dd2b996d5d44e09408,guitar,ShapeNet,False,guitar/ShapeNet/d4b021a085d836dd2b996d5d44e09408,guitar/ShapeNet/8dd7df733a5ba17acae98171fea031ef,True,guitar,guitar,0,"['it', 'has', 'a', 'small', '-er', 'body']",6,it has a small -er body,train,train,train,train,"[1, 23, 24, 26, 111, 9, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
78854,user_156,Its headstock is shaped like a diamond.,3PM8NZGV8096AI14PWUEEJ20CCBQXS,50.0,9c2dd87f9fa0614466c0cc72d086c581,guitar,ShapeNet,b6f67c7088197a76f4b498e11fb60a4b,guitar,ShapeNet,False,guitar/ShapeNet/b6f67c7088197a76f4b498e11fb60a4b,guitar/ShapeNet/9c2dd87f9fa0614466c0cc72d086c581,False,guitar,guitar,0,"['its', 'headstock', 'is', 'shaped', 'like', 'a', 'diamond']",7,its headstock is shaped like a diamond,train,train,train,train,"[1, 5, 3882, 7, 14, 35, 26, 413, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78855,user_1644,The neck is shorter and wider.,32VNZTT0A9XFOHSUI0H9MYF7F5V4RJ,56.0,9c2dd87f9fa0614466c0cc72d086c581,guitar,ShapeNet,b6f67c7088197a76f4b498e11fb60a4b,guitar,ShapeNet,False,guitar/ShapeNet/b6f67c7088197a76f4b498e11fb60a4b,guitar/ShapeNet/9c2dd87f9fa0614466c0cc72d086c581,False,guitar,guitar,0,"['the', 'neck', 'is', 'short', '-er', 'and', 'wide', '-er']",8,the neck is short -er and wide -er,train,train,train,train,"[1, 10, 509, 7, 8, 9, 47, 83, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0]",neck
78857,user_1154,The neck is much thinner on the target.,3VD82FOHKSHFM8DTJN6NB1MQWM3OC0,78.0,a19fe6a94d0c6d2c56d301ea6c7f3155,guitar,ShapeNet,6f9d1467eb39f8abfae47f572c17b9cb,guitar,ShapeNet,False,guitar/ShapeNet/6f9d1467eb39f8abfae47f572c17b9cb,guitar/ShapeNet/a19fe6a94d0c6d2c56d301ea6c7f3155,False,guitar,guitar,0,"['the', 'neck', 'is', 'much', 'thin', '-er', 'on', 'the', 'target']",9,the neck is much thin -er on the target,test,train,test,train,"[1, 10, 509, 7, 59, 60, 9, 20, 10, 11, 2, 0, 0, 0, 0, 0, 0, 0]",neck
78860,user_354,Its headstock is not flat at the top,34Q075JO1Z6AWOBC15FS447HU1H01B,68.0,c651a91562b86ed8edb9371445f615ae,guitar,ShapeNet,ce3e563f291d1b3311a3eda9aff2873,guitar,ShapeNet,False,guitar/ShapeNet/ce3e563f291d1b3311a3eda9aff2873,guitar/ShapeNet/c651a91562b86ed8edb9371445f615ae,True,guitar,guitar,0,"['its', 'headstock', 'is', 'not', 'flat', 'at', 'the', 'top']",8,its headstock is not flat at the top,train,train,train,train,"[1, 5, 3882, 7, 40, 129, 98, 10, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
78861,user_1252,The top of the head of the target guitar is curved and pointed upwards.,3PJ71Z61R6VSSIZP11YLXF8AX5M917,152.0,c651a91562b86ed8edb9371445f615ae,guitar,ShapeNet,ce3e563f291d1b3311a3eda9aff2873,guitar,ShapeNet,False,guitar/ShapeNet/ce3e563f291d1b3311a3eda9aff2873,guitar/ShapeNet/c651a91562b86ed8edb9371445f615ae,True,guitar,guitar,0,"['the', 'top', 'of', 'the', 'head', 'of', 'the', 'target', 'guitar', 'is', 'curved', 'and', 'pointed', 'upwards']",14,the top of the head of the target guitar is curved and pointed upwards,train,train,train,train,"[1, 10, 99, 38, 10, 107, 38, 10, 11, 757, 7, 51, 47, 387, 209, 2, 0, 0]",head
78862,user_354,All of its tuning pegs are on the left side of its headstock,3WS1NTTKE051M35K84UDT6BBVBSF0J,45.0,bccc58865720ad5082b2bb742a29db8,guitar,ShapeNet,df959f68bb22e402a24eeca91f583600,guitar,ShapeNet,False,guitar/ShapeNet/df959f68bb22e402a24eeca91f583600,guitar/ShapeNet/bccc58865720ad5082b2bb742a29db8,False,guitar,guitar,0,"['all', 'of', 'its', 'tuning', 'pegs', 'are', 'on', 'the', 'left', 'side', 'of', 'its', 'headstock']",13,all of its tuning pegs are on the left side of its headstock,train,train,train,train,"[1, 367, 38, 5, 3883, 2023, 16, 20, 10, 187, 22, 38, 5, 3882, 2, 0, 0, 0]",head
78865,user_1644,It does not have a headstock.,3D8YOU6S9GDLJWOP5I5TO7M5IXQU6N,25.0,e70d5369f840577593f0194265a9746c,guitar,ShapeNet,f4dc2860ddfa244caee8866e459a90ea,guitar,ShapeNet,False,guitar/ShapeNet/f4dc2860ddfa244caee8866e459a90ea,guitar/ShapeNet/e70d5369f840577593f0194265a9746c,False,guitar,guitar,0,"['it', 'does', 'not', 'have', 'a', 'headstock']",6,it does not have a headstock,train,train,train,train,"[1, 23, 39, 40, 84, 26, 3882, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78866,user_1088,The body is pointier and less symmetrical,37WLF8U1WRJ7G0JDB41RIKD7GGL6KF,135.0,648a820e550bdfd093f0194265a9746c,guitar,ShapeNet,a7ddf2e5b9dc278293f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/a7ddf2e5b9dc278293f0194265a9746c,guitar/ShapeNet/648a820e550bdfd093f0194265a9746c,True,guitar,guitar,0,"['the', 'body', 'is', 'pointy', '-er', 'and', 'less', 'symmetrical']",8,the body is pointy -er and less symmetrical,train,train,train,train,"[1, 10, 45, 7, 397, 9, 47, 229, 489, 2, 0, 0, 0, 0, 0, 0, 0, 0]",body
78867,user_1143,The target has a v shaped body,3R8YZBNQ9JBCV3VD7JQGKKPCAX27QC,34.0,648a820e550bdfd093f0194265a9746c,guitar,ShapeNet,a7ddf2e5b9dc278293f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/a7ddf2e5b9dc278293f0194265a9746c,guitar/ShapeNet/648a820e550bdfd093f0194265a9746c,True,guitar,guitar,0,"['the', 'target', 'has', 'a', 'v', 'shaped', 'body']",7,the target has a v shaped body,train,train,train,train,"[1, 10, 11, 24, 26, 384, 14, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
78869,user_1644,The neck is shorter.,3FE2ERCCZZ1YGXMXOSSTV1LXVE7POM,30.0,e585e31db7568c4cf0e1c0df18936d05,guitar,ShapeNet,a26782a7130d5b76cc5a6997e65650ba,guitar,ShapeNet,False,guitar/ShapeNet/a26782a7130d5b76cc5a6997e65650ba,guitar/ShapeNet/e585e31db7568c4cf0e1c0df18936d05,False,guitar,guitar,0,"['the', 'neck', 'is', 'short', '-er']",5,the neck is short -er,train,train,train,train,"[1, 10, 509, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",neck
78872,user_1914,"The top of the target headstock, has two sections, that look like horns.",3MMN5BL1W1X395WYDEG9QUTRVKB3MO,271.0,36b49aff54f6d7e893f0194265a9746c,guitar,ShapeNet,ca9720d793355dd693f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/ca9720d793355dd693f0194265a9746c,guitar/ShapeNet/36b49aff54f6d7e893f0194265a9746c,True,guitar,guitar,0,"['the', 'top', 'of', 'the', 'target', 'headstock', 'has', 'two', 'sections', 'that', 'look', 'like', 'horns']",13,the top of the target headstock has two sections that look like horns,train,train,train,train,"[1, 10, 99, 38, 10, 11, 3882, 24, 17, 439, 172, 186, 35, 2698, 2, 0, 0, 0]",head
78873,user_2001,The target has a simpler body,33UKMF931BDCLHKC1QNCULSHJHETT6,39.0,36b49aff54f6d7e893f0194265a9746c,guitar,ShapeNet,ca9720d793355dd693f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/ca9720d793355dd693f0194265a9746c,guitar/ShapeNet/36b49aff54f6d7e893f0194265a9746c,True,guitar,guitar,0,"['the', 'target', 'has', 'a', 'simple', '-er', 'body']",7,the target has a simple -er body,train,train,train,train,"[1, 10, 11, 24, 26, 421, 9, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
78874,user_920,The target has six circles in the head.,38BQUHLA9YTSVUPKWC01EXR2QMNMO4,63.0,bf7026f9814230414269db3f92b7aa5e,guitar,ShapeNet,a2a57079224183faffb3fd15b3de82ca,guitar,ShapeNet,False,guitar/ShapeNet/a2a57079224183faffb3fd15b3de82ca,guitar/ShapeNet/bf7026f9814230414269db3f92b7aa5e,True,guitar,guitar,0,"['the', 'target', 'has', 'six', 'circles', 'in', 'the', 'head']",8,the target has six circles in the head,train,train,train,train,"[1, 10, 11, 24, 553, 452, 90, 10, 107, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
78876,user_65,Its body is symmetrical,3JPSL1DZ5US9B8GJYUAJQHWX6SPNAW,70.0,6f3e9247e77897989ce06ac269757e69,guitar,ShapeNet,3463e9eab1648fdd91c260ea88c0b690,guitar,ShapeNet,False,guitar/ShapeNet/3463e9eab1648fdd91c260ea88c0b690,guitar/ShapeNet/6f3e9247e77897989ce06ac269757e69,True,guitar,guitar,0,"['its', 'body', 'is', 'symmetrical']",4,its body is symmetrical,train,train,train,train,"[1, 5, 45, 7, 489, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
78879,user_927,The headstock is not very pointed,3DY4FPOOA3HEIUB92WIWVOFKSI6RVI,168.0,25a108bc4c106249480694b9b5582e9e,guitar,ShapeNet,70d9a5d0330abd9df4b498e11fb60a4b,guitar,ShapeNet,False,guitar/ShapeNet/70d9a5d0330abd9df4b498e11fb60a4b,guitar/ShapeNet/25a108bc4c106249480694b9b5582e9e,True,guitar,guitar,0,"['the', 'headstock', 'is', 'not', 'very', 'pointed']",6,the headstock is not very pointed,train,train,train,train,"[1, 10, 3882, 7, 40, 62, 387, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78880,user_156,Its headstock is shaped roughly like a diamond.,3EA3QWIZ4KOMC3417EO8GEQ887RTIW,48.0,4bd2492d56d6b8c537b5646da91e9ed0,guitar,ShapeNet,95f9f944e62274e8a2bdf3e6e90db79a,guitar,ShapeNet,False,guitar/ShapeNet/95f9f944e62274e8a2bdf3e6e90db79a,guitar/ShapeNet/4bd2492d56d6b8c537b5646da91e9ed0,True,guitar,guitar,0,"['its', 'headstock', 'is', 'shaped', 'roughly', 'like', 'a', 'diamond']",8,its headstock is shaped roughly like a diamond,train,train,train,train,"[1, 5, 3882, 7, 14, 994, 35, 26, 413, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
78881,user_354,It has a gap in its headstock,3OB0CAO74JIIXUSBB2TMOJH8NSQYHL,37.0,4bd2492d56d6b8c537b5646da91e9ed0,guitar,ShapeNet,95f9f944e62274e8a2bdf3e6e90db79a,guitar,ShapeNet,False,guitar/ShapeNet/95f9f944e62274e8a2bdf3e6e90db79a,guitar/ShapeNet/4bd2492d56d6b8c537b5646da91e9ed0,True,guitar,guitar,0,"['it', 'has', 'a', 'gap', 'in', 'its', 'headstock']",7,it has a gap in its headstock,train,train,train,train,"[1, 23, 24, 26, 707, 90, 5, 3882, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78882,user_354,Its headstock is more vertically aligned,3JZQSN0I3S3YX7G5M6JGEYYR2QGFGH,64.0,d3eba720791d85401e67b43145c3c515,guitar,ShapeNet,a78c3356a5dca4e7670b811945485012,guitar,ShapeNet,False,guitar/ShapeNet/a78c3356a5dca4e7670b811945485012,guitar/ShapeNet/d3eba720791d85401e67b43145c3c515,True,guitar,guitar,0,"['its', 'headstock', 'is', 'more', 'vertically', 'aligned']",6,its headstock is more vertically aligned,train,train,train,train,"[1, 5, 3882, 7, 34, 385, 3012, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78884,user_354,Its tuning pegs are all on the left side of its headstock,32Z9ZLUT1ND63GO95FKOMSJ69J5HO9,40.0,a2610d25db838d92538d7c152e19632d,guitar,ShapeNet,cda7995e00026129e33462de7b4c569b,guitar,ShapeNet,False,guitar/ShapeNet/cda7995e00026129e33462de7b4c569b,guitar/ShapeNet/a2610d25db838d92538d7c152e19632d,True,guitar,guitar,0,"['its', 'tuning', 'pegs', 'are', 'all', 'on', 'the', 'left', 'side', 'of', 'its', 'headstock']",12,its tuning pegs are all on the left side of its headstock,train,train,train,train,"[1, 5, 3883, 2023, 16, 367, 20, 10, 187, 22, 38, 5, 3882, 2, 0, 0, 0, 0]",head
78886,user_920,The target has a head that comes to a point.,3137ONMDKIY6RTG9RVZAWGDRQXQEG3,52.0,3bca4bb40d2b8cf23b3435cb12e628d5,guitar,ShapeNet,22b29fbbf99e9cbde1c6f6ff6004a051,guitar,ShapeNet,False,guitar/ShapeNet/22b29fbbf99e9cbde1c6f6ff6004a051,guitar/ShapeNet/3bca4bb40d2b8cf23b3435cb12e628d5,False,guitar,guitar,0,"['the', 'target', 'has', 'a', 'head', 'that', 'comes', 'to', 'a', 'point']",10,the target has a head that comes to a point,train,train,train,train,"[1, 10, 11, 24, 26, 107, 172, 88, 58, 26, 412, 2, 0, 0, 0, 0, 0, 0]",head
78892,user_354,It has a more traditional headstock,3URFVVM167BN76807N24L5F0NRVUZ2,60.0,d71c17b4d1ffa131f10a27cbb87f3a5,guitar,ShapeNet,9925355d4b0deff6247a5be450795511,guitar,ShapeNet,False,guitar/ShapeNet/9925355d4b0deff6247a5be450795511,guitar/ShapeNet/d71c17b4d1ffa131f10a27cbb87f3a5,False,guitar,guitar,0,"['it', 'has', 'a', 'more', 'traditional', 'headstock']",6,it has a more traditional headstock,train,train,train,train,"[1, 23, 24, 26, 34, 1030, 3882, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78893,user_1598,The target actually has a headstock with tuners on it.,3LUY3GC631TRVRUY76BRKFZ25H1P7K,90.0,d71c17b4d1ffa131f10a27cbb87f3a5,guitar,ShapeNet,9925355d4b0deff6247a5be450795511,guitar,ShapeNet,False,guitar/ShapeNet/9925355d4b0deff6247a5be450795511,guitar/ShapeNet/d71c17b4d1ffa131f10a27cbb87f3a5,False,guitar,guitar,0,"['the', 'target', 'actually', 'has', 'a', 'headstock', 'with', 'tuners', 'on', 'it']",10,the target actually has a headstock with tuners on it,train,train,train,train,"[1, 10, 11, 2367, 24, 26, 3882, 121, 3887, 20, 23, 2, 0, 0, 0, 0, 0, 0]",head
78897,user_920,The top of the target's headstock is slanted.,3Z3ZLGNNSKNUUKUQ57NQ73DW5P93QK,102.0,2ad699d80ae93ae793f0194265a9746c,guitar,ShapeNet,c8010d22e39c2f0c2b996d5d44e09408,guitar,ShapeNet,False,guitar/ShapeNet/c8010d22e39c2f0c2b996d5d44e09408,guitar/ShapeNet/2ad699d80ae93ae793f0194265a9746c,False,guitar,guitar,0,"['the', 'top', 'of', 'the', 'target', ""'s"", 'headstock', 'is', 'slanted']",9,the top of the target 's headstock is slanted,train,train,train,train,"[1, 10, 99, 38, 10, 11, 12, 3882, 7, 674, 2, 0, 0, 0, 0, 0, 0, 0]",head
78898,user_354,Its whammy bar is on the right side of its body,3XXU1SWE8OO6QCOCXO8LF50KYUY0A8,62.0,10158b6f14c2700871e863c034067817,guitar,ShapeNet,5fc56e6d220d775e381b7fbf79296afb,guitar,ShapeNet,False,guitar/ShapeNet/5fc56e6d220d775e381b7fbf79296afb,guitar/ShapeNet/10158b6f14c2700871e863c034067817,False,guitar,guitar,0,"['its', 'whammy', 'bar', 'is', 'on', 'the', 'right', 'side', 'of', 'its', 'body']",11,its whammy bar is on the right side of its body,train,train,train,train,"[1, 5, 3877, 700, 7, 20, 10, 118, 22, 38, 5, 45, 2, 0, 0, 0, 0, 0]",body
78899,user_677,"The head is more ""V"" shaped",36H9ULYP64N8O966UC4JBBQ7UKSFJK,82.0,10158b6f14c2700871e863c034067817,guitar,ShapeNet,5fc56e6d220d775e381b7fbf79296afb,guitar,ShapeNet,False,guitar/ShapeNet/5fc56e6d220d775e381b7fbf79296afb,guitar/ShapeNet/10158b6f14c2700871e863c034067817,False,guitar,guitar,0,"['the', 'head', 'is', 'more', 'v', 'shaped']",6,the head is more v shaped,train,train,train,train,"[1, 10, 107, 7, 34, 384, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78903,user_1252,The head of the Target guitar has no spacing in the design.,323Q6SJS8K9CX3BG6C1YZYASHJKHFV,190.0,6e65c6b79bd8df3184ce60b118ccc0b3,guitar,ShapeNet,72e8c3d93b75d8c888bb86092c911c95,guitar,ShapeNet,False,guitar/ShapeNet/72e8c3d93b75d8c888bb86092c911c95,guitar/ShapeNet/6e65c6b79bd8df3184ce60b118ccc0b3,False,guitar,guitar,0,"['the', 'head', 'of', 'the', 'target', 'guitar', 'has', 'no', 'spacing', 'in', 'the', 'design']",12,the head of the target guitar has no spacing in the design,test,train,test,train,"[1, 10, 107, 38, 10, 11, 757, 24, 123, 2980, 90, 10, 192, 2, 0, 0, 0, 0]",head
78908,user_1252,"The top of the head of the target guitar is ""v"" shaped.",3EQHHY4HQUL6VANGGU67SM7EDQQG5B,280.0,9a4d1c4535c3f3d2d872eaafa837d692,guitar,ShapeNet,648a820e550bdfd093f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/648a820e550bdfd093f0194265a9746c,guitar/ShapeNet/9a4d1c4535c3f3d2d872eaafa837d692,False,guitar,guitar,0,"['the', 'top', 'of', 'the', 'head', 'of', 'the', 'target', 'guitar', 'is', 'v', 'shaped']",12,the top of the head of the target guitar is v shaped,train,train,train,train,"[1, 10, 99, 38, 10, 107, 38, 10, 11, 757, 7, 384, 14, 2, 0, 0, 0, 0]",head
78909,user_1885,its neck is longer,30JNVC0ORBD9OS1PKSCSBXE6OQCHQI,70.0,9a4d1c4535c3f3d2d872eaafa837d692,guitar,ShapeNet,648a820e550bdfd093f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/648a820e550bdfd093f0194265a9746c,guitar/ShapeNet/9a4d1c4535c3f3d2d872eaafa837d692,False,guitar,guitar,0,"['its', 'neck', 'is', 'long', '-er']",5,its neck is long -er,train,train,train,train,"[1, 5, 509, 7, 32, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",neck
78912,user_354,Its headstock is much taller and skinnier,34YB12FSQ0H43H8M8TNT9OI0ZSZMG4,44.0,f86c277a6e1f444293f0194265a9746c,guitar,ShapeNet,6602c186baded145d57700c05b1862d8,guitar,ShapeNet,False,guitar/ShapeNet/6602c186baded145d57700c05b1862d8,guitar/ShapeNet/f86c277a6e1f444293f0194265a9746c,False,guitar,guitar,0,"['its', 'headstock', 'is', 'much', 'tall', '-er', 'and', 'skinny', '-er']",9,its headstock is much tall -er and skinny -er,train,train,train,train,"[1, 5, 3882, 7, 59, 53, 9, 47, 282, 9, 2, 0, 0, 0, 0, 0, 0, 0]",head
78913,user_1644,The headstock is more pointed and wavy.,3TXWC2NHN1JSM2YJEKD5TGVJN9Z9SZ,87.0,f86c277a6e1f444293f0194265a9746c,guitar,ShapeNet,6602c186baded145d57700c05b1862d8,guitar,ShapeNet,False,guitar/ShapeNet/6602c186baded145d57700c05b1862d8,guitar/ShapeNet/f86c277a6e1f444293f0194265a9746c,False,guitar,guitar,0,"['the', 'headstock', 'is', 'more', 'pointed', 'and', 'wavy']",7,the headstock is more pointed and wavy,train,train,train,train,"[1, 10, 3882, 7, 34, 387, 47, 660, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
78914,user_354,Its body is star shaped,3VZLGYJEYN3FOA2VCSDR5CE4HCFXZ6,40.0,cd26da8e82da2ff36212ceeee46a9894,guitar,ShapeNet,44c05e219618a6395b3335548350bdee,guitar,ShapeNet,False,guitar/ShapeNet/44c05e219618a6395b3335548350bdee,guitar/ShapeNet/cd26da8e82da2ff36212ceeee46a9894,False,guitar,guitar,0,"['its', 'body', 'is', 'star', 'shaped']",5,its body is star shaped,train,train,train,train,"[1, 5, 45, 7, 683, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
78915,user_1252,The head of the Target guitar is pointed at the top.,3ZSY5X72NZ4JSA2C1KWI0WLCWTBORN,415.0,cd26da8e82da2ff36212ceeee46a9894,guitar,ShapeNet,44c05e219618a6395b3335548350bdee,guitar,ShapeNet,False,guitar/ShapeNet/44c05e219618a6395b3335548350bdee,guitar/ShapeNet/cd26da8e82da2ff36212ceeee46a9894,False,guitar,guitar,0,"['the', 'head', 'of', 'the', 'target', 'guitar', 'is', 'pointed', 'at', 'the', 'top']",11,the head of the target guitar is pointed at the top,train,train,train,train,"[1, 10, 107, 38, 10, 11, 757, 7, 387, 98, 10, 99, 2, 0, 0, 0, 0, 0]",head
